Gene Symbol	1B	2B	3B	8B	9B	10B	11B	13B	14B	16B	17B
ABHD8	11.32178049	12.14075739	11.24060785	11.26900838	13.8759237	12.46085954	11.79360138	12.26373713	12.55432131	11.58553118	13.32000728
ABI1	11.79638046	11.55253676	12.7309562	11.60193396	10.5752521	11.83108292	11.66104766	11.03993699	11.19992578	11.0102785	10.07700986
ABI1	9.264905125	9.989622216	10.28698688	10.45158387	9.362546256	9.764578643	9.846123584	9.890375832	9.906547078	9.755593837	9.605795019
ABI2	9.857849837	10.67104145	10.39909015	10.6981773	11.47333876	10.13103198	10.31445841	10.4834737	10.43669373	9.242596805	10.66703417
ABI2	10.85486607	10.62431774	10.52014788	10.6871621	10.93654283	11.20622983	10.8541495	10.85005244	10.72350663	10.78268676	10.93702068
ABI2	12.42192429	11.51118761	11.90479338	11.55019579	10.71519025	11.57059169	11.1869558	11.47564451	12.85623723	11.10355688	10.89641813
ABI3BP	11.0998519	11.48638437	9.425372365	10.05163735	10.81919504	10.99065142	12.34575173	11.28935466	11.46587104	11.37560869	11.51417171
ABL1	9.429757404	10.49847299	7.271846639	9.602201175	7.228661258	10.48226201	7.136123001	9.374778237	7.104949098	8.972960416	10.32441848
ABL1	14.88076344	14.93674616	14.65075669	14.56067036	14.76323511	14.86066605	15.0563039	15.00161517	14.84274768	14.80340552	14.8277903
ABL1	8.044075364	8.498225309	8.65844893	9.26836979	8.800256296	8.821611566	8.437891328	7.721532412	8.203830024	7.934829181	7.956688056
ABL2	10.7822517	10.44318716	10.50623486	10.38084622	11.4438019	11.17441911	10.0878161	9.797136022	11.90515439	9.685049582	9.303264167
ABL2	13.14101907	12.68923655	13.35531141	12.69490614	12.8890377	11.70125352	13.2987299	12.1072759	12.89551347	12.01166936	11.27510397
ABL2	11.711413	11.31410431	10.3947989	10.82932083	12.47495754	10.27865915	10.17020358	9.161762107	10.65235154	10.24647961	9.802325537
ABLIM1	7.538312091	9.276907901	7.584104237	7.215410163	7.560872564	7.482862639	10.74860304	8.102410719	7.470499972	8.226267299	7.668167633
ABLIM1	7.972574649	11.201317	9.621569873	10.65235154	9.606964726	9.994378286	12.04997523	9.62981897	11.73817619	10.15272452	10.19240801
ABLIM1	13.75328338	13.94620065	14.10931975	13.56226837	12.53938823	13.36782282	13.8047399	13.73675447	13.50072618	14.14888863	13.68614991
ABLIM1	12.02663382	12.49518163	12.45950423	12.15252374	9.751583322	11.9904133	12.02057647	12.20814235	12.60113332	12.20121357	11.46237039
ABLIM3	10.52431126	11.9607524	10.23700099	11.24869286	10.54022102	10.90822594	11.77046156	11.71158761	11.6130657	11.7547506	11.45610216
ABO	12.59114537	12.37863504	8.157395389	12.86823747	7.556141439	13.29991219	12.79650687	12.16532507	12.680232	10.87344355	12.29184393
ABP1	7.989059856	7.736692625	10.06274815	8.162165372	8.998244779	10.86851058	8.141506858	7.623589234	8.149323114	9.097413281	11.6134282
ABR	10.60812505	10.57267758	11.24242019	10.7628645	10.54874583	11.67740986	8.609962532	8.642367153	8.119171228	8.060683034	8.266597791
